Date,ID,Sex,DOB,Session,Type,Fluid,Side,Concentration,Material,Intake,mls,Total Fluid,Preference
11/5/24,E1,Female,,1,20% Alcohol,Water,Left,,Metal,183.16831683168314,3.6999999999999993,,
11/5/24,E1,Female,,1,20% Alcohol,Alcohol,Right,0.2,Metal,10.997328556076893,1.407163179572511,5.1071631795725105,27.55273583583237
11/5/24,E2,Male,,1,20% Alcohol,Water,Left,,Metal,91.66666666666657,1.759999999999998,,
11/5/24,E2,Male,,1,20% Alcohol,Alcohol,Right,0.2,Metal,17.735199108454292,2.1569654577388855,3.9169654577388835,55.06725758
11/5/24,E3,Male,,1,20% Alcohol,Water,Left,,Metal,65.16853932584277,1.740000000000002,,
11/5/24,E3,Male,,1,20% Alcohol,Alcohol,Right,0.2,Metal,12.328288219210151,2.0850666091475856,3.8250666091475876,54.51059608115531
11/5/24,E4,Male,,1,20% Alcohol,Water,Left,,Metal,129.3478260869564,3.5699999999999967,,
11/5/24,E4,Male,,1,20% Alcohol,Alcohol,Right,0.2,Metal,7.813768882565372,1.3660781232346284,4.936078123234625,27.675374844744834
11/5/24,E5,Male,,1,20% Alcohol,Water,Left,,Metal,120.58823529411757,3.2799999999999976,,
11/5/24,E5,Male,,1,20% Alcohol,Alcohol,Right,0.2,Metal,8.047905477785964,1.3866206514035662,4.666620651403564,29.713592661244427
11/5/24,E6,Male,,1,20% Alcohol - Hydropac,Water,Left,,Metal,164.17910447761187,4.399999999999999,,
11/5/24,E6,Male,,1,20% Alcohol - Hydropac,Alcohol,Right,0.2,Metal,1.6336046939983446,0.27732413028071323,4.677324130280712,5.929119354490181
11/5/24,E7,Male,,1,20% Alcohol - Hydropac,Water,Left,,Metal,121.05263157894736,3.6799999999999997,,
11/5/24,E7,Male,,1,20% Alcohol - Hydropac,Alcohol,Right,0.2,Metal,3.680387183408564,0.7087172218284917,4.388717221828491,16.14861897
11/5/24,E8,Male,,1,20% Alcohol - Hydropac,Water,Left,,Metal,119.45525291828794,3.0700000000000003,,
11/5/24,E8,Male,,1,20% Alcohol - Hydropac,Alcohol,Right,0.2,Metal,2.208273818951492,0.35949424295647847,3.429494242956479,10.48242736359189
11/5/24,E9,Male,,1,20% Alcohol - Hydropac,Water,Left,,Metal,109.65517241379308,3.1799999999999997,,
11/5/24,E9,Male,,1,20% Alcohol - Hydropac,Alcohol,Right,0.2,Metal,3.075266052303386,0.5649195246458952,3.744919524645895,15.084957658717963
11/5/24,E10,Male,,1,20% Alcohol - Hydropac,Water,Left,,Metal,112.54901960784304,2.8699999999999974,,
11/5/24,E10,Male,,1,20% Alcohol - Hydropac,Alcohol,Right,0.2,Metal,7.058311174591548,1.1401103133762667,4.010110313376265,28.430896516070263
11/13/24,E1,Female,,2,20% Alcohol,Water,Left,,Metal,112.37623762376236,2.2699999999999996,,
11/13/24,E1,Female,,2,20% Alcohol,Alcohol,Right,0.2,Metal,18.94430320608864,2.424018323935126,4.694018323935126,51.64058077010242
11/13/24,E2,Male,,2,20% Alcohol,Water,Left,,Metal,73.95833333333343,1.4200000000000017,,
11/13/24,E2,Male,,2,20% Alcohol,Alcohol,Right,0.2,Metal,21.87341223376028,2.660257397877957,4.080257397877959,65.19827399275083
11/13/24,E3,Male,,2,20% Alcohol,Water,Left,,Metal,35.58052434456926,0.9499999999999993,,
11/13/24,E3,Male,,2,20% Alcohol,Alcohol,Right,0.2,Metal,19.858868215180905,3.358703355621976,4.308703355621976,77.95160349666578
11/13/24,E4,Male,,2,20% Alcohol,Water,Left,,Metal,102.89855072463766,2.84,,
11/13/24,E4,Male,,2,20% Alcohol,Alcohol,Right,0.2,Metal,9.987524135609858,1.7461148943600482,4.586114894360048,38.07394569436977
11/13/24,E5,Male,,2,20% Alcohol,Water,Left,,Metal,80.88235294117645,2.1999999999999993,,
11/13/24,E5,Male,,2,20% Alcohol,Alcohol,Right,0.2,Metal,12.042051159353829,2.0747953450631167,4.274795345063116,48.535547963933766
11/13/24,E6,Male,,2,20% Alcohol - Hydropac,Water,Left,,Metal,144.4029850746269,3.870000000000001,,
11/13/24,E6,Male,,2,20% Alcohol - Hydropac,Alcohol,Right,0.2,Metal,2.8436822451082486,0.48274941197013366,4.352749411970135,11.090677782703608
11/13/24,E7,Male,,2,20% Alcohol - Hydropac,Water,Left,,Metal,49.999999999999986,1.5199999999999996,,
11/13/24,E7,Male,,2,20% Alcohol - Hydropac,Alcohol,Right,0.2,Metal,12.801346724899322,2.4651033802730087,3.9851033802730083,61.857953107960064
11/13/24,E8,Male,,2,20% Alcohol - Hydropac,Water,Left,,Metal,116.73151750972762,3,,
11/13/24,E8,Male,,2,20% Alcohol - Hydropac,Alcohol,Right,0.2,Metal,5.6153248539052605,0.9141425035179086,3.9141425035179087,23.35486004140897
11/13/24,E9,Male,,2,20% Alcohol - Hydropac,Water,Left,,Metal,33.10344828,0.9600000000000009,,
11/13/24,E9,Male,,2,20% Alcohol - Hydropac,Alcohol,Right,0.2,Metal,14.537621338161546,2.6705286619624293,3.630528662,73.55757000191024
11/13/24,E10,Male,,2,20% Alcohol - Hydropac,Water,Left,,Metal,100.00000000000001,2.5500000000000007,,
11/13/24,E10,Male,,2,20% Alcohol - Hydropac,Alcohol,Right,0.2,Metal,11.891028735573139,1.9207263837960513,4.470726383796052,42.962288874524695